,PoS,Token
8225,ADV,一个
8226,NOUN,商战
8227,NOUN,模拟
8228,NOUN,游戏
8229,VERB,可能
8230,VERB,有
8231,NOUN,工业
8232,PUNCT,，
8233,NOUN,商业
8234,CCONJ,或
8235,NOUN,金融
8236,NOUN,背景
8237,PUNCT,（
8238,PROPN,Elgood
8239,PUNCT,，
8240,NOUN,1996年
8241,PUNCT,）
8242,PUNCT,。
8243,ADV,基本上
8244,PUNCT,，
8245,PRON,我
8246,ADV,只
8247,VERB,做
8248,PRON,她
8249,PART,的
8250,NOUN,编辑
8251,PUNCT,。
8252,PRON,我
8253,ADV,为此
8254,VERB,引以为傲
8255,PUNCT,。
8256,NOUN,明年
8257,PRON,我们
8258,VERB,认为
8259,PRON,她
8260,VERB,应该
8261,VERB,要
8262,VERB,找
8263,NUM,一
8264,NUM,位
8265,NOUN,文字
8266,NOUN,助理
8267,PUNCT,。
8268,PRON,他
8269,VERB,展示
8270,PART,了
8271,VERB,出现
8272,ADP,在
8273,DET,什么
8274,NOUN,程度
8275,PART,上
8276,VERB,创造
8277,PART,了
8278,NOUN,存在
8279,PUNCT,。
8280,ADV,但是
8281,PUNCT,，
8282,PRON,她
8283,ADP,在
8284,PROPN,意大利
8285,VERB,去世
8286,PART,之前
8287,ADV,从来
8288,ADV,没有
8289,ADV,这样
8290,VERB,做
8291,PART,过
8292,PUNCT,。
8293,PRON,他
8294,VERB,是
8295,ADP,在
8296,NOUN,1986年
8297,X,被
8298,VERB,释放
8299,PART,的
8300,PUNCT,，
8301,VERB,重温
8302,NOUN,敌人
8303,CCONJ,和
8304,NOUN,朋友
8305,PUNCT,，
8306,PRON,他
8307,ADV,不
8308,VERB,能
8309,VERB,区分
8310,PRON,谁
8311,PART,了
8312,PUNCT,。
8313,DET,另外
8314,NUM,四
8315,NOUN,人
8316,VERB,加入
8317,PART,了
8318,PROPN,Read
8319,NOUN,It
8320,NOUN,Later
8321,NOUN,团队
8322,PUNCT,。
8323,ADP,据
8324,NOUN,报道
8325,PUNCT,，
8326,NOUN,2009年
8327,NOUN,9月
8328,NUM,两
8329,NOUN,国
8330,NOUN,政府
8331,NOUN,副外长
8332,PART,之间
8333,PART,的
8334,NUM,一
8335,NUM,次
8336,NOUN,会议
8337,NOUN,侧重于
8338,NOUN,政治
8339,CCONJ,和
8340,NOUN,经济
8341,NOUN,合作
8342,PUNCT,。
8343,NOUN,2006年
8344,PUNCT,，
8345,PROPN,Thous
8346,CCONJ,and
8347,PROPN,Parsec
8348,ADV,未
8349,VERB,达到
8350,ADJ,预想
8351,NOUN,目标
8352,PUNCT,。
8353,PUNCT,“
8354,PRON,我们
8355,VERB,是
8356,PROPN,瑞士人
8357,PUNCT,，
8358,PROPN,瑞士人
8359,ADV,不要
8360,VERB,放弃
8361,PRON,他们
8362,PART,的
8363,NOUN,武器
8364,PUNCT,，
8365,ADV,而是
8366,ADP,和
8367,PRON,他们
8368,PART,的
8369,NOUN,生命
8370,ADV,在一起
8371,PUNCT,。
8372,NOUN,狗肉
8373,ADP,自
8374,NOUN,1986年
8375,PART,起
8376,ADP,在
8377,PROPN,德国
8378,X,被
8379,VERB,禁止
8380,PUNCT,。
8381,PUNCT,“
8382,NOUN,杰瑞
8383,PUNCT,，
8384,VERB,雪莉
8385,PUNCT,，
8386,PRON,我
8387,ADV,没有
8388,VERB,杀
8389,PART,了
8390,PRON,你们
8391,PART,的
8392,NOUN,女儿
8393,PUNCT,。
8394,X,被
8395,VERB,确定
8396,PART,的
8397,NOUN,部队
8398,NOUN,现在
8399,ADV,已经
8400,VERB,离开
8401,PROPN,该国
8402,PUNCT,。
8403,NOUN,人们
8404,X,被
8405,VERB,拘留
8406,CCONJ,和
8407,PUNCT,（
8408,CCONJ,或
8409,PUNCT,）
8410,X,被
8411,VERB,送回
8412,PROPN,海地
8413,PUNCT,。
8414,NOUN,1994年
8415,PUNCT,：
8416,PROPN,NLnet
8417,PUNCT,，
8418,PART,一个
8419,NOUN,互联网
8420,NOUN,服务
8421,VERB,提供
8422,NOUN,商
8423,PUNCT,。
8424,PROPN,UD
8425,NOUN,P扫描
8426,ADV,也
8427,VERB,是
8428,VERB,可能
8429,PART,的
8430,PUNCT,","
8431,SCONJ,尽管
8432,VERB,存在
8433,NUM,一些
8434,NOUN,技术
8435,NOUN,挑战
8436,PUNCT,。
8437,PROPN,橙色
8438,PUNCT,（
8439,PROPN,奥地利
8440,PUNCT,、
8441,PROPN,瑞士
8442,PUNCT,、
8443,DET,某些
8444,DET,其他
8445,NOUN,地方
8446,PUNCT,）
8447,ADV,极端
8448,VERB,高难
8449,PUNCT,。
8450,VERB,回收
8451,NUM,一些
8452,NOUN,原料
8453,ADV,几乎
8454,ADV,肯定
8455,VERB,是
8456,VERB,必要
8457,PART,的
8458,PUNCT,。
8459,VERB,建立
8460,PART,了
8461,NUM,许多
8462,VERB,新
8463,PART,的
8464,NOUN,工业
8465,PUNCT,、
8466,NOUN,金融
8467,CCONJ,和
8468,DET,其他
8469,NOUN,机构
8470,PUNCT,；
8471,ADV,例如
8472,PUNCT,，
8473,NOUN,今天
8474,PROPN,斯洛伐克
8475,PART,的
8476,NUM,第一
8477,NUM,家
8478,NOUN,银行
8479,VERB,成立
8480,ADP,于
8481,NOUN,1842年
8482,PUNCT,。
8483,PRON,它
8484,VERB,有
8485,DET,一个
8486,NOUN,图形
8487,NOUN,前端
8488,PUNCT,：
8489,PROPN,Rpmdrake
8490,PUNCT,。
8491,PRON,他
8492,VERB,试图
8493,VERB,启动
8494,NOUN,政治
8495,NOUN,和解
8496,PUNCT,。
8497,NOUN,冰岛
8498,VERB,是
8499,VERB,处于
8500,NUM,一个
8501,ADJ,独特
8502,PART,的
8503,NOUN,位置
8504,PUNCT,。
8505,NOUN,科学家
8506,VERB,认为
8507,PUNCT,，
8508,PRON,这
8509,ADV,只是
8510,DET,该
8511,NOUN,地区
8512,DET,所有
8513,VERB,可能
8514,VERB,洞穴
8515,PART,的
8516,NUM,20％
8517,PUNCT,。
8518,ADV,近年来
8519,PUNCT,，
8520,NUM,一些
8521,PROPN,德国
8522,PART,的
8523,NOUN,火车
8524,NOUN,车长
8525,ADV,成功
8526,VERB,获得
8527,ADJ,自杀者
8528,NOUN,父母
8529,CCONJ,或
8530,NOUN,配偶
8531,PART,的
8532,NOUN,补偿金
8533,PUNCT,。
8534,ADV,然而
8535,PUNCT,，
8536,ADJ,现代
8537,PART,的
8538,NOUN,浏览器
8539,VERB,提供
8540,PROPN,JSON
8541,PUNCT,.
8542,PROPN,parse
8543,ADP,作为
8544,DET,这个
8545,NOUN,任务
8546,PART,的
8547,NUM,一个
8548,ADV,更加
8549,ADJ,安全
8550,PART,的
8551,NOUN,替代品
8552,PUNCT,。
8553,ADP,在
8554,PROPN,奥地利
8555,PUNCT,，
8556,PRON,他们
8557,ADV,直接
8558,X,将
8559,PROPN,Decision
8560,NUM,2005
8561,PUNCT,/
8562,PROPN,513/EC
8563,NOUN,本地
8564,NOUN,立法
8565,PUNCT,。
8566,PROPN,与此同期
8567,PUNCT,（
8568,PROPN,1929－1936
8569,PUNCT,）
8570,PUNCT,，
8571,NOUN,政府
8572,ADV,也
8573,VERB,开始
8574,ADP,在
8575,NOUN,亚美尼亚
8576,VERB,推行
8577,NOUN,工业化
8578,PUNCT,。
8579,VERB,值得
8580,NOUN,注意
8581,PART,的
8582,VERB,是
8583,PUNCT,，
8584,DET,这
8585,NUM,份
8586,NOUN,名单
8587,ADV,并不
8588,VERB,等同于
8589,ADV,最
8590,VERB,强烈
8591,PART,的
8592,PROPN,太平洋
8593,NOUN,飓风
8594,NOUN,名单
8595,PUNCT,。
8596,PROPN,路德
8597,ADP,在
8598,VERB,开始
8599,PART,时
8600,VERB,说
8601,PUNCT,：
8602,NOUN,现在
8603,PUNCT,，
8604,PRON,我们
8605,VERB,要
8606,ADP,以
8607,NOUN,基督徒
8608,PART,的
8609,NOUN,方式
8610,PART,来
8611,VERB,处理
8612,PRON,他们
8613,PUNCT,。
8614,PRON,她
8615,ADV,并没有
8616,X,将
8617,PRON,她
8618,PART,的
8619,NOUN,论点
8620,VERB,限制
8621,ADP,于
8622,NOUN,18世纪
8623,PART,的
8624,NOUN,女性
8625,CCONJ,或
8626,PROPN,英国
8627,PART,的
8628,NOUN,女性
8629,PUNCT,。
8630,PROPN,Qubes
8631,VERB,不是
8632,NUM,一个
8633,NUM,多
8634,NOUN,用户
8635,NOUN,系统
8636,PUNCT,。
8637,ADP,当
8638,PRON,他
8639,ADP,于
8640,NOUN,6点
8641,VERB,起床
8642,PART,时
8643,PUNCT,，
8644,PRON,她
8645,ADV,已
8646,ADV,不
8647,VERB,在
8648,PRON,那里
8649,PUNCT,。
8650,ADV,通常
8651,PUNCT,，
8652,DET,这些
8653,NOUN,目标
8654,VERB,是
8655,DET,某个
8656,NOUN,意识
8657,NOUN,形态
8658,PART,的
8659,NUM,一部分
8660,PUNCT,。
8661,ADV,然而
8662,PUNCT,，
8663,PROPN,克罗地亚
8664,CCONJ,和
8665,PROPN,罗马尼亚
8666,ADP,在
8667,NOUN,2004年
8668,VERB,接受
8669,PROPN,欧盟
8670,PART,的
8671,DET,所有
8672,NOUN,贸易
8673,VERB,减少
8674,PART,了
8675,NOUN,CEFTA
8676,NOUN,贸易
8677,PART,的
8678,NOUN,意义
8679,PUNCT,。
8680,SCONJ,如果
8681,VERB,获得
8682,NOUN,通过
8683,PUNCT,，
8684,DET,该
8685,NOUN,决议
8686,ADV,不
8687,VERB,会
8688,VERB,取代
8689,PUNCT,“
8690,NOUN,天空旗
8691,PUNCT,”
8692,PUNCT,。
8693,PUNCT,’
8694,PRON,他
8695,X,把
8696,PRON,它
8697,VERB,拿
8698,VERB,出来
8699,ADV,然后
8700,PRON,我
8701,ADP,用
8702,ADV,大约
8703,NUM,60
8704,NUM,美元
8705,VERB,买
8706,PART,了
8707,PRON,它
8708,PUNCT,。
8709,VERB,并非
8710,DET,所有
8711,NOUN,文化
8712,ADV,都
8713,ADV,严格
8714,VERB,界定
8715,PART,了
8716,NOUN,性别
8717,NOUN,角色
8718,PUNCT,。
8719,ADV,然而
8720,PUNCT,，
8721,ADP,关于
8722,ADJ,新
8723,NOUN,宪法
8724,PART,的
8725,NOUN,谈判
8726,VERB,失败
8727,PART,了
8728,PUNCT,。
8729,ADV,有一天
8730,PUNCT,，
8731,DET,一个
8732,VERB,邪恶
8733,PART,的
8734,NOUN,人
8735,VERB,闯入
8736,NOUN,王宫
8737,PUNCT,，
8738,VERB,偷走
8739,PART,了
8740,NUM,三
8741,NUM,个
8742,VERB,魔法
8743,NOUN,宝石
8744,PART,中
8745,PART,的
8746,NOUN,一个
8747,PUNCT,。
8748,ADP,因为
8749,DET,所有
8750,PART,的
8751,ADJ,潜在
8752,NOUN,选民
8753,ADV,都
8754,VERB,是
8755,NOUN,消费者
8756,PUNCT,，
8757,VERB,保护
8758,NOUN,消费者
8759,ADV,明显
8760,VERB,有着
8761,VERB,重要
8762,PART,的
8763,NOUN,政治
8764,NOUN,意义
8765,PUNCT,。
8766,PRON,他们
8767,PART,的
8768,NOUN,眼睛
8769,VERB,盯
8770,PART,着
8771,DET,这
8772,NUM,片
8773,NOUN,土地
8774,PUNCT,。
8775,DET,其他
8776,NOUN,国家
8777,VERB,可能
8778,VERB,会
8779,VERB,修改
8780,ADJ,印度尼西亚人
8781,PART,的
8782,ADJ,正式
8783,NOUN,名称
8784,PUNCT,，
8785,PART,以
8786,VERB,符合
8787,NOUN,当地
8788,PART,的
8789,NOUN,标准
8790,PUNCT,。
8791,ADP,在
8792,PROPN,伦敦
8793,PART,的
8794,NUM,三
8795,NUM,个
8796,NOUN,月
8797,PART,间
8798,PUNCT,，
8799,PROPN,雷伊
8800,VERB,看
8801,PART,了
8802,NUM,99
8803,NUM,部
8804,NOUN,电影
8805,PUNCT,。
8806,ADV,这项
8807,ADJ,新
8808,NOUN,技术
8809,VERB,是
8810,NUM,一个
8811,NOUN,名
8812,VERB,为
8813,NOUN,Argo
8814,PUNCT,/
8815,PROPN,Jason
8816,PART,的
8817,NOUN,系统
8818,PUNCT,。
8819,NOUN,1902年
8820,PUNCT,，
8821,PROPN,比利时
8822,PROPN,工党
8823,VERB,发动
8824,PART,了
8825,DET,另
8826,NUM,一
8827,NUM,次
8828,NOUN,罢工
8829,PUNCT,，
8830,ADV,但
8831,VERB,失败
8832,PART,了
8833,PUNCT,。
8834,ADV,此前
8835,VERB,没有
8836,DET,其他
8837,PROPN,巴西
8838,NOUN,艺术家
8839,CCONJ,或者
8840,NOUN,葡萄牙语
8841,NOUN,艺术家
8842,VERB,赢得
8843,DET,这个
8844,NOUN,奖项
8845,PUNCT,。
8846,NOUN,总体而言
8847,PUNCT,，
8848,PRON,它们
8849,X,将
8850,ADJ,现行
8851,PART,的
8852,ADJ,普通
8853,NOUN,法重
8854,VERB,述成
8855,NUM,一
8856,NUM,系列
8857,PART,的
8858,NOUN,原则
8859,CCONJ,或
8860,NOUN,规则
8861,PUNCT,。
8862,PROPN,凭藉
8863,NOUN,奖金
8864,PUNCT,，
8865,PRON,他
8866,VERB,开发
8867,PART,了
8868,NOUN,Lotus
8869,PROPN,Mk2
8870,PUNCT,。
8871,ADV,而且
8872,PRON,它
8873,ADV,不
8874,VERB,会
8875,ADV,轻易
8876,VERB,展示
8877,PRON,它
8878,PART,的
8879,NOUN,质素
8880,ADP,给
8881,NOUN,人
8882,VERB,看
8883,PUNCT,，
8884,SCONJ,除非
8885,PRON,它
8886,VERB,想
8887,PUNCT,”
8888,PUNCT,。
8889,PROPN,62Cu
8890,CCONJ,和
8891,PROPN,64Cu
8892,VERB,有
8893,ADJ,重要
8894,NOUN,应用
8895,PUNCT,。
8896,NOUN,技术
8897,NOUN,写作
8898,VERB,必须
8899,VERB,准确
8900,PUNCT,。
8901,NOUN,翌日
8902,NOUN,清晨
8903,NOUN,5时整
8904,PUNCT,，
8905,PRON,我
8906,ADV,就
8907,VERB,发现
8908,NUM,60
8909,NUM,位
8910,NOUN,战士
8911,ADP,在
8912,NOUN,海滩
8913,VERB,上等
8914,PART,着
8915,PRON,我
8916,PUNCT,。
8917,NUM,两
8918,NUM,年后
8919,PUNCT,，
8920,NOUN,American
8921,ADJ,Cancer
8922,NOUN,Society
8923,NOUN,选举
8924,PRON,他
8925,VERB,为
8926,NOUN,副会长
8927,PUNCT,。
8928,PROPN,NLG
8929,VERB,出现
8930,ADV,已
8931,ADV,久
8932,PUNCT,，
8933,ADV,但是
8934,NOUN,商业
8935,NOUN,NLG
8936,NOUN,技术
8937,VERB,直到
8938,NOUN,最近
8939,ADV,才
8940,VERB,变得
8941,VERB,普及
8942,PUNCT,。
8943,PROPN,保加利亚
8944,NOUN,目前
8945,VERB,认为
8946,VERB,成为
8947,NOUN,欧元区
8948,PART,的
8949,NOUN,成员
8950,ADV,过于
8951,VERB,危险
8952,PUNCT,。
8953,ADP,从
8954,NOUN,历史
8955,PART,上
8956,VERB,看
8957,PUNCT,，
8958,PROPN,安哥拉
8959,VERB,没有
8960,VERB,重要
8961,PART,的
8962,NOUN,穆斯林
8963,NOUN,人口
8964,PUNCT,。
8965,NUM,160
8966,NUM,米
8967,ADV,也
8968,X,被
8969,VERB,称为
8970,PUNCT,“
8971,ADJ,顶级
8972,NOUN,波段
8973,PUNCT,”
8974,PUNCT,。
8975,VERB,作为
8976,PROPN,法国
8977,PART,的
8978,ADJ,最高级
8979,NOUN,法律
8980,NOUN,法院
8981,PUNCT,，
8982,PRON,它
8983,ADV,也
8984,VERB,有
8985,DET,其它
8986,NOUN,职责
8987,PUNCT,。
8988,SCONJ,一旦
8989,NOUN,游客
8990,VERB,遇到
8991,NOUN,大猩猩
8992,PUNCT,，
8993,PRON,他们
8994,VERB,花
8995,NUM,一个
8996,NOUN,小时
8997,CCONJ,与
8998,PRON,它们
8999,VERB,在一起
9000,PUNCT,。
9001,ADP,自
9002,NOUN,2007年
9003,NOUN,年初
9004,PART,以来
9005,PUNCT,，
9006,VERB,没有
9007,ADP,关于
9008,PROPN,UDI
9009,PART,的
9010,NOUN,公告
9011,PUNCT,，
9012,PROPN,UD
9013,NOUN,I网站
9014,ADV,也
9015,ADV,已
9016,ADV,不
9017,ADV,再
9018,VERB,运行
9019,PUNCT,。
9020,ADP,截至
9021,NOUN,2008年
9022,PUNCT,，
9023,ADV,至少
9024,VERB,有
9025,NUM,76
9026,NUM,个
9027,NOUN,国家
9028,VERB,是
9029,ADP,在
9030,ADP,以
9031,DET,某种
9032,NOUN,形式
9033,VERB,使用
9034,ADJ,直接
9035,NOUN,地热
9036,NOUN,能源
9037,PUNCT,。
9038,PRON,他
9039,ADV,还
9040,VERB,说
9041,PUNCT,，
9042,NOUN,总理
9043,PUNCT,，
9044,NOUN,内政
9045,NOUN,部长
9046,CCONJ,和
9047,NOUN,国防
9048,NOUN,部长
9049,VERB,得出
9050,PART,的
9051,NOUN,结论
9052,VERB,是
9053,PUNCT,，
9054,VERB,需要
9055,ADP,向
9056,PROPN,巴基斯坦
9057,VERB,提供
9058,NOUN,某种
9059,PUNCT,“
9060,NOUN,回应
9061,PUNCT,”
9062,PUNCT,。
9063,PUNCT,""""
9064,ADP,如同
9065,DET,有些
9066,NOUN,人
9067,VERB,知道
9068,PART,的
9069,NOUN,Gareth
9070,ADP,在
9071,NOUN,过去
9072,NUM,几
9073,NUM,年
9074,ADV,已经
9075,ADP,在
9076,PROPN,美国
9077,VERB,定居
9078,PUNCT,，
9079,ADV,并
9080,VERB,起
9081,ADP,在
9082,NOUN,最近
9083,VERB,结婚
9084,PART,了
9085,PUNCT,。
9086,VERB,减轻
9087,NOUN,重量
9088,VERB,使
9089,PRON,你
9090,ADP,在
9091,DET,任何
9092,NOUN,地方
9093,ADV,都
9094,ADV,更
9095,VERB,快
9096,PUNCT,”
9097,PUNCT,。
9098,ADP,对于
9099,VERB,有
9100,PROPN,欧洲
9101,NOUN,大陆
9102,NOUN,银行
9103,ADJ,传统
9104,PART,的
9105,NOUN,国家
9106,ADV,尤为
9107,VERB,如此
9108,PUNCT,。
9109,NOUN,1992年
9110,NOUN,7月
9111,NOUN,3日
9112,PUNCT,，
9113,NOUN,FIFA
9114,ADV,最终
9115,VERB,欢迎
9116,PROPN,南非
9117,VERB,回归
9118,NOUN,国际
9119,VERB,足坛
9120,PUNCT,。
9121,ADV,最
9122,VERB,大
9123,PART,的
9124,NOUN,一家
9125,ADV,当然
9126,VERB,是
9127,PROPN,Google
9128,PUNCT,。
9129,PRON,他
9130,VERB,打算
9131,VERB,卖
9132,PART,了
9133,NOUN,沙滩
9134,PUNCT,。
9135,PROPN,柏林
9136,NOUN,现在
9137,X,被
9138,NUM,八
9139,NUM,支
9140,PROPN,俄罗斯
9141,NOUN,军队
9142,ADV,完全
9143,VERB,包围
9144,PUNCT,。
9145,ADV,但
9146,PROPN,斯奈普斯
9147,X,被
9148,VERB,允许
9149,VERB,回家
9150,PUNCT,，
9151,ADP,因为
9152,PRON,他
9153,VERB,有
9154,NUM,一个
9155,VERB,有效
9156,PART,的
9157,PROPN,美国
9158,NOUN,护照
9159,PUNCT,。
9160,ADP,为
9161,VERB,避免
9162,NOUN,混淆
9163,PUNCT,，
9164,PRON,它
9165,NOUN,现在
9166,X,被
9167,VERB,称为
9168,PROPN,Mozilla
9169,NOUN,应用
9170,NOUN,程序
9171,NOUN,框架
9172,PUNCT,。
9173,NOUN,歌曲
9174,PUNCT,“
9175,PROPN,Rosanna
9176,PUNCT,”
9177,ADV,部分
9178,VERB,基于
9179,PRON,她
9180,PUNCT,。
9181,PRON,你
9182,VERB,有
9183,NUM,五
9184,NUM,头
9185,NOUN,牛
9186,PUNCT,。
9187,PUNCT,“
9188,NOUN,1992年
9189,PRON,我
9190,VERB,开始
9191,VERB,创作
9192,PUNCT,〈
9193,NOUN,灰
9194,CCONJ,与
9195,PROPN,雪〉
9196,PART,时
9197,PUNCT,，
9198,VERB,是
9199,VERB,想
9200,ADP,从
9201,NOUN,里
9202,ADP,向
9203,NOUN,外
9204,VERB,探索
9205,NOUN,人类
9206,CCONJ,和
9207,NOUN,动物
9208,PART,的
9209,NOUN,关系
9210,PUNCT,。
9211,PROPN,美国
9212,VERB,派出
9213,PART,了
9214,NUM,两
9215,NUM,名
9216,NOUN,选举
9217,NOUN,观察员
9218,CCONJ,和
9219,NUM,三
9220,NUM,名
9221,NOUN,记者
9222,PUNCT,。
9223,ADV,彼得
9224,VERB,承诺
9225,ADV,每年
9226,NOUN,春天
9227,VERB,会
9228,ADP,为了
9229,NOUN,温蒂
9230,VERB,回来
9231,PUNCT,。
9232,NUM,一些
9233,NOUN,国家
9234,PUNCT,，
9235,ADV,特别是
9236,PROPN,非洲
9237,NOUN,国家
9238,PUNCT,，
9239,ADP,由于
9240,VERB,发展
9241,VERB,停滞
9242,CCONJ,和
9243,NOUN,艾滋病
9244,PART,的
9245,NOUN,影响
9246,PUNCT,，
9247,ADV,似乎
9248,ADP,在
9249,NUM,第二
9250,NOUN,阶段
9251,VERB,停滞不前
9252,PUNCT,。
9253,ADV,可是
9254,PUNCT,“
9255,ADV,惟
9256,PROPN,上帝
9257,ADV,不
9258,VERB,常
9259,PUNCT,。
9260,PRON,他
9261,VERB,支持
9262,VERB,资助
9263,ADJ,非暴力
9264,NUM,21
9265,NOUN,世纪
9266,NOUN,组织
9267,PUNCT,（
9268,NOUN,Non
9269,PUNCT,-
9270,NOUN,Violence
9271,PROPN,XXI
9272,PUNCT,）
9273,PUNCT,。
9274,,1.1
9275,PUNCT,%
9276,VERB,来自
9277,NOUN,汞
9278,PART,的
9279,NOUN,生产
9280,PUNCT,，
9281,ADV,主要
9282,VERB,用于
9283,NOUN,电池
9284,PUNCT,。
9285,ADV,随后
9286,PRON,她
9287,ADP,在
9288,PROPN,法国
9289,NOUN,南部
9290,VERB,举行
9291,PART,了
9292,PRON,她
9293,PART,的
9294,NUM,第二
9295,NUM,次
9296,NOUN,婚礼
9297,PUNCT,。
9298,PRON,他们
9299,VERB,说
9300,PRON,他们
9301,VERB,有
9302,NOUN,炸弹
9303,PUNCT,。
9304,PRON,我
9305,VERB,输
9306,PART,了
9307,PUNCT,，
9308,PROPN,尼克松
9309,NOUN,先生
9310,VERB,赢
9311,PART,了
9312,PUNCT,。
9313,PROPN,Masica
9314,VERB,支持
9315,ADJ,最后
9316,PART,的
9317,NOUN,观点
9318,PUNCT,。
9319,PRON,他
9320,VERB,提交
9321,PART,了
9322,NUM,几
9323,NUM,个
9324,NOUN,鳞片
9325,CCONJ,和
9326,NUM,少量
9327,PART,的
9328,NOUN,血液
9329,VERB,作为
9330,NOUN,证据
9331,PUNCT,。
9332,PROPN,印度
9333,ADJ,联合
9334,NOUN,银行
9335,NOUN,现在
9336,VERB,旨在
9337,VERB,扩大
9338,PRON,其
9339,NOUN,国际
9340,NOUN,活动
9341,PUNCT,。
9342,PRON,我们
9343,ADV,只
9344,VERB,关心
9345,NOUN,体育
9346,PUNCT,，
9347,ADV,而
9348,VERB,非
9349,NOUN,政治
9350,PUNCT,。
9351,NOUN,1046年
9352,PUNCT,，
9353,NUM,一些
9354,PROPN,威廉
9355,PART,的
9356,NOUN,敌人
9357,ADV,终于
9358,VERB,决定
9359,VERB,攻击
9360,PUNCT,。
9361,ADV,然而
9362,PUNCT,，
9363,NUM,许多
9364,NOUN,历史学家
9365,VERB,认为
9366,VERB,有
9367,NUM,第三
9368,NUM,份
9369,NOUN,文件
9370,VERB,存在
9371,PUNCT,。
9372,SCONJ,即使
9373,ADP,在
9374,VERB,有
9375,NOUN,燃料
9376,PART,的
9377,NOUN,地方
9378,PUNCT,，
9379,NOUN,SODIS
9380,ADV,也
9381,VERB,是
9382,NUM,一
9383,NUM,种
9384,ADJ,更
9385,NOUN,经济
9386,PUNCT,，
9387,ADV,更
9388,NOUN,环保
9389,PART,的
9390,NOUN,选择
9391,PUNCT,。
9392,NUM,第二
9393,NUM,天
9394,NOUN,晚上
9395,PUNCT,，
9396,NOUN,道格
9397,CCONJ,和
9398,PROPN,亚历克斯
9399,VERB,去
9400,VERB,吃
9401,NOUN,晚饭
9402,PUNCT,，
9403,VERB,谈论
9404,ADV,已经
9405,VERB,发生
9406,PART,的
9407,ADJ,奇怪
9408,NOUN,事件
9409,PUNCT,。
9410,ADV,然而
9411,PUNCT,，
9412,ADP,由于
9413,ADV,近年来
9414,PROPN,越南
9415,NOUN,宗教
9416,NOUN,自由
9417,PART,的
9418,NOUN,改善
9419,PUNCT,，
9420,PROPN,美国
9421,ADV,不
9422,ADV,再
9423,X,把
9424,PROPN,越南
9425,VERB,视为
9426,DET,一个
9427,ADJ,特别
9428,NOUN,关注
9429,PART,的
9430,NOUN,国家
9431,PUNCT,。
9432,ADP,在
9433,NOUN,联邦
9434,NOUN,储备
9435,NOUN,系统
9436,PART,中
9437,NUM,四分之三
9438,PART,的
9439,NOUN,银行
9440,ADP,在
9441,VERB,接下来
9442,PART,的
9443,NUM,三
9444,NUM,天
9445,PART,中
9446,ADV,重新
9447,VERB,开张
9448,PUNCT,。
9449,DET,该
9450,NOUN,过程
9451,VERB,会
9452,ADV,一直
9453,VERB,进行
9454,ADJ,直到
9455,NOUN,金属
9456,CCONJ,和
9457,NOUN,熔盐
9458,PART,之间
9459,VERB,达到
9460,NOUN,平衡
9461,PUNCT,。
9462,ADV,最
9463,VERB,密集
9464,PART,的
9465,NOUN,轰炸
9466,NOUN,袭击
9467,VERB,是
9468,ADP,在
9469,DET,头
9470,NUM,几
9471,NUM,天
9472,PUNCT,。
9473,ADV,而
9474,PRON,她
9475,VERB,住在
9476,PROPN,伦敦
9477,PART,的
9478,NOUN,父亲
9479,ADV,也
9480,VERB,收到
9481,PART,了
9482,NUM,一
9483,NUM,封
9484,NOUN,信
9485,PUNCT,。
9486,PRON,她
9487,ADP,在
9488,NUM,第十三
9489,NUM,章
9490,PART,中
9491,VERB,说
9492,ADP,在
9493,NUM,一
9494,NUM,部
9495,NOUN,电影
9496,PART,中
9497,PUNCT,，
9498,DET,一个
9499,NOUN,男孩
9500,ADP,从
9501,NOUN,船上
9502,VERB,掉
9503,PART,了
9504,VERB,下去
9505,PUNCT,。
9506,ADJ,小型
9507,NOUN,企业
9508,NOUN,管理局
9509,ADV,一共
9510,VERB,收到
9511,NUM,812
9512,NUM,笔
9513,ADJ,小型
9514,NOUN,企业
9515,NOUN,贷款
9516,NOUN,申请
9517,PUNCT,。
9518,ADV,但
9519,PROPN,M67
9520,ADV,并
9521,ADV,没有
9522,VERB,完全
9523,PART,地
9524,ADP,从
9525,NOUN,步兵
9526,PART,中
9527,VERB,退役
9528,PUNCT,。
9529,ADP,自
9530,NOUN,1954年
9531,PART,以来
9532,PUNCT,，
9533,DET,这
9534,NUM,颗
9535,NOUN,恒星
9536,ADV,已经
9537,VERB,爆炸
9538,PART,过
9539,NUM,六
9540,NUM,次
9541,PUNCT,。
9542,ADP,从
9543,NOUN,2005年
9544,NOUN,10月
9545,NOUN,19日
9546,CCONJ,至
9547,NOUN,2006年
9548,NOUN,2月
9549,NOUN,18日
9550,PUNCT,，
9551,DET,该
9552,NOUN,项目
9553,ADV,已
9554,VERB,提交
9555,NOUN,国家
9556,ADJ,公开
9557,NOUN,辩论
9558,PUNCT,。
9559,DET,所有
9560,NUM,三
9561,NUM,种
9562,NOUN,类型
9563,PART,的
9564,NOUN,辐射
9565,ADP,在
9566,DET,某些
9567,NOUN,元素
9568,PART,中
9569,ADV,自然
9570,VERB,出现
9571,PUNCT,。
9572,VERB,这是
9573,DET,一个
9574,ADV,很
9575,ADJ,大
9576,PART,的
9577,NOUN,学习
9578,NOUN,经历
9579,PUNCT,，
9580,PRON,我
9581,ADP,因为
