,Sentence,Annotation
561,盖雷特11岁的儿子理查德成了一名目击者。,"盖雷特 nr
11 m
岁 m
的 uj
儿子 n
理查德 n
成 v
了 ul
一名 m
目击者 n
。 x
"
562,因此，2006年被普遍认为是肯德里克的突破年至今。,"因此 c
， x
2006 m
年 m
被 p
普遍认为 l
是 v
肯 v
德里克 nrt
的 uj
突破 vn
年 m
至今 d
。 x
"
563,他去了斯特拉斯堡和巴塞尔，但遇到了失败。,"他 r
去 v
了 ul
斯特拉斯堡 nrt
和 c
巴塞尔 nr
， x
但 c
遇到 v
了 ul
失败 v
。 x
"
564,因此，n = 30甚至更大，是完全合理的，尽管令人惊讶。,"因此 c
， x
n x
  x
= x
  x
30 m
甚至 d
更 d
大 a
， x
是 v
完全 ad
合理 vn
的 uj
， x
尽管 c
令人 nrt
惊讶 a
。 x
"
565,巴基斯坦为她的青年感到自豪，尤其是学生，他们是明天国家的建设者。,"巴基斯坦 ns
为 p
她 r
的 uj
青年 t
感到 v
自豪 n
， x
尤其 d
是 v
学生 n
， x
他们 r
是 v
明天 t
国家 n
的 uj
建设者 n
。 x
"
566,这就是威廉从欧洲返回时东方的局势。,"这 r
就是 d
威廉 nrt
从 p
欧洲 ns
返回 v
时 n
东方 s
的 uj
局势 n
。 x
"
567,奥斯本先生今天的自信表明了为什么会这样。,"奥斯本 ns
先生 n
今天 t
的 uj
自信 v
表明 v
了 ul
为什么 r
会 v
这样 r
。 x
"
568,对国际化的支持非常重要。,"对 p
国际化 nt
的 uj
支持 v
非常 d
重要 a
。 x
"
569,他们必须是个体的公民。,"他们 r
必须 d
是 v
个体 n
的 uj
公民 n
。 x
"
570,至关重要的是，这种“新闻”不是在英国制作或广播的。,"至关重要 l
的 uj
是 v
， x
这种 r
“ x
新闻 n
” x
不是 c
在 p
英国 ns
制作 vn
或 c
广播 vn
的 uj
。 x
"
571,这种设备仍然在使用，即使是在新的飞机。,"这种 r
设备 vn
仍然 d
在 p
使用 v
， x
即使 c
是 v
在 p
新 a
的 uj
飞机 n
。 x
"
572,因此，问题是哪一方的CDS将不得不支付，并且它将能够做到这点。,"因此 c
， x
问题 n
是 v
哪 r
一方 m
的 uj
CDS eng
将 d
不得不 d
支付 v
， x
并且 c
它 r
将 d
能够 v
做到 v
这点 mq
。 x
"
573,因此任何新的奥地利政府必须整合他们。,"因此 c
任何 r
新 a
的 uj
奥地利政府 nt
必须 d
整合 v
他们 r
。 x
"
574,在很多神话中，上神创世之后就退隐至天堂。,"在 p
很多 m
神话 n
中 f
， x
上神 n
创世 v
之后 f
就 d
退隐 v
至 p
天堂 n
。 x
"
575,40%的人口经常购买公平贸易商品。,"40 m
% x
的 uj
人口 n
经常 d
购买 v
公平 n
贸易 vn
商品 n
。 x
"
576,《华盛顿邮报》指该隧道可能被以色列监视了几年。,"《 x
华盛顿邮报 nz
》 x
指该 v
隧道 n
可能 v
被 p
以色列 ns
监视 v
了 ul
几年 m
。 x
"
577,如果我们跟中国人混合起来，他们会慢慢把我们吞掉。,"如果 c
我们 r
跟 p
中国 ns
人 n
混合 vn
起来 v
， x
他们 r
会 v
慢慢 d
把 p
我们 r
吞掉 v
。 x
"
578,孩子似乎能够分清两种语言本身。,"孩子 n
似乎 d
能够 v
分清 v
两种 m
语言 n
本身 r
。 x
"
579,截至2010年，美国债务继续增加，而加拿大联邦政府债务正在减少。,"截至 v
2010 m
年 m
， x
美国 ns
债务 n
继续 v
增加 v
， x
而 c
加拿大 ns
联邦政府 nt
债务 n
正在 t
减少 v
。 x
"
580,规则和条例的存在，但一般来说，MOELC本身并不处罚。,"规则 n
和 c
条例 n
的 uj
存在 v
， x
但 c
一般来说 l
， x
MOELC eng
本身 r
并 c
不 d
处罚 v
。 x
"
581,六名涉嫌走私者和11名移民被捕。,"六名 m
涉嫌 v
走私者 n
和 c
11 m
名 n
移民 n
被捕 v
。 x
"
582,在特立尼达待了一年后，移民中有17人死去了。,"在 p
特立尼达 nr
待 v
了 ul
一年 m
后 f
， x
移民 n
中 f
有 v
17 m
人 n
死去 v
了 ul
。 x
"
583,因此，我们有充分的理由相信，一些情报官员陪同并指导了这些交易。,"因此 c
， x
我们 r
有 v
充分 ad
的 uj
理由 n
相信 v
， x
一些 m
情报 n
官员 n
陪同 v
并 c
指导 n
了 ul
这些 r
交易 n
。 x
"
584,大卫在1084年未知日期出生于苏格兰。,"大卫 n
在 p
1084 m
年 m
未知 v
日期 t
出 v
生于 v
苏格兰 ns
。 x
"
585,她觉得自己需要“逃避”，于是去埃及待了3周。,"她 r
觉得 v
自己 r
需要 v
“ x
逃避 v
” x
， x
于是 c
去 v
埃及 ns
待 v
了 ul
3 m
周 nr
。 x
"
586,法案还指出，美国大使馆应在五年内迁往耶路撒冷。,"法案 n
还 d
指出 v
， x
美国大使馆 nt
应 v
在 p
五年 t
内 n
迁往 v
耶路撒冷 ns
。 x
"
587,我终不会浪费一万劳工的劳动成果。,"我 r
终 d
不会 v
浪费 n
一万 m
劳工 vn
的 uj
劳动成果 n
。 x
"
588,1986年，来到美国寻求政治庇护的4万名海地人获得了永久居民身份。,"1986 m
年 m
， x
来到 v
美国 ns
寻求 v
政治 n
庇护 v
的 uj
4 m
万名 m
海地人 n
获得 v
了 ul
永久 d
居民 n
身份 n
。 x
"
589,现在摩洛哥公民可在任何时间、任何地点申请护照。,"现在 t
摩洛哥 ns
公民 n
可 v
在 p
任何 r
时间 n
、 x
任何 r
地点 n
申请 v
护照 n
。 x
"
590,他还指出，许多用户会在编辑摘要中留下许多他不想让9岁的孙子看到的评论。,"他 r
还 d
指出 v
， x
许多 m
用户 n
会 v
在 p
编辑 n
摘要 v
中 f
留下 v
许多 m
他 r
不想 v
让 v
9 m
岁 m
的 uj
孙子 nr
看到 v
的 uj
评论 n
。 x
"
591,"在紧急状态期间，约2,436人根据《国内安全法案》被拘留。","在 p
紧急状态 l
期间 f
， x
约 d
2 m
, x
436 m
人 n
根据 p
《 x
国内安全 nz
法案 n
》 x
被 p
拘留 v
。 x
"
592,但是我们实际上得到的要多了一点，因为这个空间现在是 T0 的。,"但是 c
我们 r
实际上 d
得到 v
的 uj
要多 v
了 ul
一点 m
， x
因为 c
这个 r
空间 n
现在 t
是 v
  x
T0 eng
  x
的 uj
。 x
"
593,此外，还有27位众议员和参议员并没有参加这次投票。,"此外 c
， x
还有 v
27 m
位 v
众议员 n
和 c
参议员 n
并 c
没有 v
参加 v
这次 r
投票 n
。 x
"
594,每个区域都有一个boss，可在其基地中找到并击败。,"每个 r
区域 n
都 d
有 v
一个 m
boss eng
， x
可 v
在 p
其 r
基地 n
中 f
找到 v
并 c
击败 v
。 x
"
595,5月11日，一架A-10在科索沃上空轻微受损。,"5 m
月 m
11 m
日 m
， x
一架 m
A x
- x
10 m
在 p
科索沃 nr
上空 v
轻微 d
受损 v
。 x
"
596,在中非共和国，至少有98名女孩说，她们曾受到国际维和人员的性虐待。,"在 p
中非共和国 ns
， x
至少 d
有 v
98 m
名 n
女孩 n
说 v
， x
她们 r
曾 d
受到 v
国际 n
维和 nz
人员 n
的 uj
性虐待 n
。 x
"
597,该计划允许157个合作社向15000个农场提供援助。,"该 r
计划 n
允许 v
157 m
个 m
合作社 l
向 p
15000 m
个 m
农场 n
提供援助 n
。 x
"
598,在1976年，他又提出了J4的存在。,"在 p
1976 m
年 m
， x
他 r
又 d
提出 v
了 ul
J4 eng
的 uj
存在 v
。 x
"
599,第一，信贷是一项人权；第二，穷人是最了解如何改善自己处境的人。,"第一 m
， x
信贷 n
是 v
一项 m
人权 n
； x
第二 m
， x
穷人 n
是 v
最 d
了解 v
如何 r
改善 v
自己 r
处境 n
的 uj
人 n
。 x
"
600,两个例子是Bacardi 151或 Pitorro moonshine。,"两个 m
例子 n
是 v
Bacardi eng
  x
151 m
或 c
  x
Pitorro eng
  x
moonshine eng
。 x
"
601,如果你们企图收复你们早已丧失的土地，那么你们试试吧。,"如果 c
你们 r
企图 n
收复 v
你们 r
早已 d
丧失 v
的 uj
土地 n
， x
那么 r
你们 r
试试 vn
吧 y
。 x
"
602,色彩缤纷的小型、私有队的时代终于走到了尽头。,"色彩缤纷 i
的 uj
小型 b
、 x
私有 b
队 n
的 uj
时代 n
终于 d
走到 v
了 ul
尽头 d
。 x
"
603,他有时会显示为他们二者中某一位的助手或同伴。,"他 r
有时 r
会 v
显示 v
为 p
他们 r
二者 n
中 f
某 r
一位 m
的 uj
助手 n
或 c
同伴 n
。 x
"
604,在封闭型经济中：国民储蓄=投资。,"在 p
封闭型 n
经济 n
中 f
： x
国民 n
储蓄 n
= x
投资 vn
。 x
"
605,但是在9月8日G.55仍未送达。,"但是 c
在 p
9 m
月 m
8 m
日 m
G eng
.55 m
仍未 d
送达 v
。 x
"
606,许多非洲面具代表动物。,"许多 m
非洲 ns
面具 n
代表 n
动物 n
。 x
"
607,12月3日乌克兰最高法院终于突破了这个政治僵局。,"12 m
月 m
3 m
日 m
乌克兰 nr
最高法院 nt
终于 d
突破 vn
了 ul
这个 r
政治 n
僵局 n
。 x
"
608,这要通过多数决定来达到，以及不可避免的妥协。,"这 r
要 v
通过 p
多数决定 l
来 v
达到 v
， x
以及 c
不可避免 l
的 uj
妥协 v
。 x
"
609,但是现在科学已经提供了更让人信服的解释。,"但是 c
现在 t
科学 n
已经 d
提供 v
了 ul
更让人 n
信服 n
的 uj
解释 v
。 x
"
610,少数人权利受到该宪法第29（2）条的保护。,"少数 m
人 n
权利 n
受到 v
该 r
宪法 n
第 m
29 m
（ x
2 x
） x
条 q
的 uj
保护 v
。 x
"
611,宗教改革也使得欧洲和平在几个世纪之内成为不可能。,"宗教改革 nr
也 d
使得 v
欧洲 ns
和平 nz
在 p
几个 m
世纪 n
之内 f
成为 v
不 d
可能 v
。 x
"
612,我在试图拯救人民，尽我所能在士兵找到我们之前穿行到加拿大。,"我 r
在 p
试图 v
拯救 v
人民 n
， x
尽我所能 l
在 p
士兵 n
找到 v
我们 r
之前 f
穿行 v
到 v
加拿大 ns
。 x
"
613,他们说，他们将把我们的宗教人士赶出奥地利。,"他们 r
说 v
， x
他们 r
将 d
把 p
我们 r
的 uj
宗教 n
人士 n
赶 v
出 v
奥地利 ns
。 x
"
614,八座机场在其名称中使用“伦敦”一词，但大多数交通量都经由其中六座。,"八座 m
机场 n
在 p
其 r
名称 n
中 f
使用 v
“ x
伦敦 ns
” x
一 m
词 n
， x
但 c
大多数 m
交通量 n
都 d
经由 p
其中 r
六座 m
。 x
"
615,1951年8月，对经济实施了额外的控制。,"1951 m
年 m
8 m
月 m
， x
对 p
经济 n
实施 v
了 ul
额外 b
的 uj
控制 v
。 x
"
616,瑞典还宣布，大多数难民从4月份开始只能获得临时居留证。,"瑞典 ns
还 d
宣布 v
， x
大多数 m
难民 n
从 p
4 m
月份 n
开始 v
只能 v
获得 v
临时 b
居留证 nr
。 x
"
617,今天，参与机构和个人捐助者通过财政捐款继续支持EOL。,"今天 t
， x
参与 v
机构 n
和 c
个人 n
捐助者 n
通过 p
财政 n
捐款 v
继续 v
支持 v
EOL eng
。 x
"
618,在2005年之前，只有1月1日和1月2日是公众假期。,"在 p
2005 m
年 m
之前 f
， x
只有 c
1 m
月 m
1 m
日 m
和 c
1 m
月 m
2 m
日 m
是 v
公众 n
假期 t
。 x
"
619,例子包括喜欢巧克力冰淇淋，或赞同特定政党的价值观。,"例子 n
包括 v
喜欢 v
巧克力 nr
冰淇淋 nr
， x
或 c
赞同 v
特定 d
政党 n
的 uj
价值观 n
。 x
"
620,亚美尼亚商人和威尼斯人之间的第一次接触可以追溯到6世纪。,"亚美尼亚 ns
商人 n
和 c
威尼斯人 nrt
之间 f
的 uj
第一次 m
接触 v
可以 c
追溯到 l
6 x
世纪 n
。 x
"
621,土耳其当局随后逮捕了四名与非法旅行有关的人，虽然他们似乎是低级中间人。,"土耳其 ns
当局 n
随后 d
逮捕 v
了 ul
四名 m
与 p
非法 b
旅行 vn
有关 vn
的 uj
人 n
， x
虽然 c
他们 r
似乎 d
是 v
低级 b
中间人 n
。 x
"
622,他当总统时支持过这些措施吗？没有。,"他 r
当 p
总统 n
时 n
支持 v
过 ug
这些 r
措施 n
吗 y
？ x
没有 v
。 x
"
623,教会的财产（包括银行账户）被收走。,"教会 n
的 uj
财产 n
（ x
包括 v
银行 n
账户 n
） x
被 p
收走 v
。 x
"
624,1988年至1990年间，他建造了六座桥梁。,"1988 m
年 m
至 p
1990 m
年间 t
， x
他 r
建造 v
了 ul
六座 m
桥梁 n
。 x
"
625,他说他的音乐影片受到我的影响。,"他 r
说 v
他 r
的 uj
音乐 n
影片 n
受到 v
我 r
的 uj
影响 vn
。 x
"
626,还有一个日本考古学家团队在埃及工作40多年。,"还有 v
一个 m
日本 ns
考古学家 n
团队 n
在 p
埃及 ns
工作 vn
40 m
多年 m
。 x
"
627,其中的一些学校还向非穆斯林开放。,"其中 r
的 uj
一些 m
学校 n
还 d
向 p
非 h
穆斯林 nz
开放 v
。 x
"
628,这是我惟一一次没有和他在一起。,"这 r
是 v
我 r
惟一 b
一次 m
没有 v
和 c
他 r
在 p
一起 m
。 x
"
629,自推出以来，L11已经演变成为八个生产版本。,"自 p
推出 v
以来 f
， x
L11 eng
已经 d
演变 v
成为 v
八个 m
生产 vn
版本 n
。 x
"
630,将英格兰打败就是我们的真实目的。,"将 d
英格兰 ns
打败 v
就是 d
我们 r
的 uj
真实 d
目的 n
。 x
"
631,但是，ATP是必需的，以保持其结构完整性。,"但是 c
， x
ATP eng
是 v
必需 v
的 uj
， x
以 p
保持 v
其 r
结构 n
完整性 n
。 x
"
632,C++14放松了这些限制。,"C++ nz
14 m
放松 v
了 ul
这些 r
限制 v
。 x
"
633,引起混淆的一个主要问题是第二定律仅适用于孤立的系统。,"引起 v
混淆 v
的 uj
一个 m
主要 b
问题 n
是 v
第二 m
定律 n
仅 d
适用 v
于 p
孤立 v
的 uj
系统 n
。 x
"
634,Iomega经常指出，这些问题是由使用（功能相同的）第三方媒体造成的。,"Iomega eng
经常 d
指出 v
， x
这些 r
问题 n
是 v
由 p
使用 v
（ x
功能 n
相同 d
的 uj
） x
第三方 m
媒体 n
造成 v
的 uj
。 x
"
635,数以千计的稳定常数的值可以在两个商业数据库中找到。,"数以千计 l
的 uj
稳定 a
常数 n
的 uj
值 n
可以 c
在 p
两个 m
商业 n
数据库 n
中 f
找到 v
。 x
"
636,他们以一种廉价和令人反感的方式改变了很多东西。,"他们 r
以 p
一种 m
廉价 n
和 c
令人 nrt
反感 v
的 uj
方式 n
改变 v
了 ul
很多 m
东西 ns
。 x
"
637,实际上他建造了一座由三个不同部分组成的住宅。,"实际上 d
他 r
建造 v
了 ul
一座 m
由 p
三个 m
不同 a
部分 n
组成 v
的 uj
住宅 n
。 x
"
638,他认为这一步（包括农民和社会主义领导人）会增加新兵人数。,"他 r
认为 v
这 r
一步 m
（ x
包括 v
农民 n
和 c
社会主义 n
领导人 n
） x
会 v
增加 v
新兵 n
人数 n
。 x
"
639,最后冰代替了雪，我们转向左边的岩石。,"最后 f
冰 n
代替 v
了 ul
雪 n
， x
我们 r
转向 v
左边 f
的 uj
岩石 n
。 x
"
640,在这五年中，我们不能看到尽头。,"在 p
这 r
五年 t
中 f
， x
我们 r
不能 v
看到 v
尽头 d
。 x
"
641,我想要的是一名同时兼具真实和美丽的人。,"我 r
想要 v
的 uj
是 v
一名 m
同时 c
兼具 v
真实 d
和 c
美丽 ns
的 uj
人 n
。 x
"
642,“我认为人们可能会完全排斥这个游戏，因为有些玩家只是为了杀，杀，杀。,"“ x
我 r
认为 v
人们 n
可能 v
会 v
完全 ad
排斥 v
这个 r
游戏 n
， x
因为 c
有些 r
玩家 n
只是 c
为了 p
杀 v
， x
杀 v
， x
杀 v
。 x
"
643,2014年5月有报告指出，计划中的93个重大项目仅有36个完工。,"2014 m
年 m
5 m
月 m
有 v
报告 n
指出 v
， x
计划 n
中 f
的 uj
93 m
个 m
重大项目 n
仅 d
有 v
36 m
个 m
完工 v
。 x
"
644,在这种情况下，Santos Abreu 可能来自她的丈夫。,"在 p
这种 r
情况 n
下 f
， x
Santos eng
  x
Abreu eng
  x
可能 v
来自 v
她 r
的 uj
丈夫 n
。 x
"
645,这是我们的，我们的国家 ...”。,"这 r
是 v
我们 r
的 uj
， x
我们 r
的 uj
国家 n
  x
... m
” x
。 x
"
646,Mandy在Bill的救助下康复。,"Mandy eng
在 p
Bill eng
的 uj
救助 vn
下 f
康复 nr
。 x
"
647,所以遵照亚里士多德，苹果的形式存在于每个苹果内，而不是在形式的世界内。,"所以 c
遵照 v
亚里士多德 nrt
， x
苹果 n
的 uj
形式 n
存在 v
于 p
每个 r
苹果 n
内 n
， x
而 c
不是 c
在 p
形式 n
的 uj
世界 n
内 n
。 x
"
648,对plain TeX的特殊支持仍在开发中。,"对 p
plain eng
  x
TeX eng
的 uj
特殊 a
支持 v
仍 d
在 p
开发 v
中 f
。 x
"
649,Chester Wilmot指出这是很惨重的损失，因为此时在诺曼底地区只有36辆虎式坦克。,"Chester eng
  x
Wilmot eng
指出 v
这 r
是 v
很 d
惨重 a
的 uj
损失 n
， x
因为 c
此时 c
在 p
诺曼底 nrt
地区 n
只有 c
36 m
辆 m
虎式 n
坦克 n
。 x
"
650,他说我的线条画得不错，何不星期一去上班呢。,"他 r
说 v
我 r
的 uj
线条 n
画 v
得 ud
不错 a
， x
何不 d
星期一 t
去 v
上班 v
呢 y
。 x
"
651,我预感到有一天这个小岛会让欧洲震惊。,"我 r
预感 n
到 v
有 v
一天 m
这个 r
小岛 n
会 v
让 v
欧洲 ns
震惊 v
。 x
"
652,"谢晓星的座右铭为“With God, everything is possible.”，是改编自俄亥俄州的座右铭“With God, all things are possible.”。","谢晓星 nr
的 uj
座右铭 nr
为 p
“ x
With eng
  x
God eng
, x
  x
everything eng
  x
is eng
  x
possible eng
. m
” x
， x
是 v
改编自 nz
俄亥俄州 ns
的 uj
座右铭 nr
“ x
With eng
  x
God eng
, x
  x
all eng
  x
things eng
  x
are eng
  x
possible eng
. m
” x
。 x
"
653,我们的政策是在可预见的未来不加入。,"我们 r
的 uj
政策 n
是 v
在 p
可 v
预见 v
的 uj
未来 t
不 d
加入 v
。 x
"
654,Bomis收益的大约百分之十源于色情影片和博客。,"Bomis eng
收益 n
的 uj
大约 d
百分之十 m
源于 v
色情 n
影片 n
和 c
博客 nr
。 x
"
655,2013年他的一些照片被出版在书籍《Keeping Time: The Photographs of Don Hunstein》之中。,"2013 m
年 m
他 r
的 uj
一些 m
照片 n
被 p
出版 v
在 p
书籍 n
《 x
Keeping eng
  x
Time eng
: x
  x
The eng
  x
Photographs eng
  x
of eng
  x
Don eng
  x
Hunstein eng
》 x
之中 r
。 x
"
656,但结果是，他手下的党徒惨遭屠杀，自己则被斩首。,"但 c
结果 n
是 v
， x
他 r
手下 s
的 uj
党徒 n
惨遭 v
屠杀 vn
， x
自己 r
则 d
被 p
斩首 v
。 x
"
657,他们同意在第二天一起喝咖啡。,"他们 r
同意 d
在 p
第二天 m
一起 m
喝咖啡 nr
。 x
"
658,布雷萨诺内 蒂罗尔伯国 Map of Tyrol in 1766,"布雷 nr
萨诺 nr
内 f
  x
蒂罗尔 nrt
伯国 ns
  x
Map eng
  x
of eng
  x
Tyrol eng
  x
in eng
  x
1766 m
"
659,许多索马里社会习俗来自他们的宗教。,"许多 m
索马里 nr
社会习俗 n
来自 v
他们 r
的 uj
宗教 n
。 x
"
660,人类并非潜在的宿主。,"人类 n
并非 c
潜在 t
的 uj
宿主 n
。 x
"
661,然有一天早上，农民来了，把鸡杀了。,"然有 c
一天 m
早上 t
， x
农民 n
来 v
了 ul
， x
把 p
鸡 n
杀 v
了 ul
。 x
"
662,阿布哈兹和委内瑞拉之间的关系在得到承认之前已经很好。,"阿布哈兹 nrt
和 c
委内瑞拉 ns
之间 f
的 uj
关系 n
在 p
得到 v
承认 v
之前 f
已经 d
很 d
好 a
。 x
"
663,然而，其中一些提议举措面临着预算问题。,"然而 c
， x
其中 r
一些 m
提议 v
举措 v
面临 v
着 uz
预算 v
问题 n
。 x
"
664,金属是不降解的，因为它们是元素。,"金属 n
是 v
不 d
降解 v
的 uj
， x
因为 c
它们 r
是 v
元素 n
。 x
"
665,在一月至1940年，第一次定期正在进行的每月的福利开始了。,"在 p
一月 m
至 p
1940 m
年 m
， x
第一次 m
定期 vn
正在 t
进行 v
的 uj
每月 r
的 uj
福利 ns
开始 v
了 ul
。 x
"
666,巴勒斯坦医护人员说，至少有1155名巴勒斯坦人在过去三个星期死亡。,"巴勒斯坦 ns
医护人员 n
说 v
， x
至少 d
有 v
1155 m
名 n
巴勒斯坦人 nrt
在 p
过去 t
三个 m
星期 t
死亡 v
。 x
"
667,1993年，南方商人再次宣称他们要冲击世界记录。,"1993 m
年 m
， x
南方 f
商人 n
再次 d
宣称 v
他们 r
要 v
冲击 vn
世界 n
记录 n
。 x
"
668,一个可能的例子是728 Leonisis，但是他也被分类为A-型。,"一个 m
可能 v
的 uj
例子 n
是 v
728 m
  x
Leonisis eng
， x
但是 c
他 r
也 d
被 p
分类 n
为 p
A eng
- x
型 k
。 x
"
669,他被规定要每个星期日向警方报告，每天晚上都要留在家里，并在没有警察许可的情况下不会离开那不勒斯。,"他 r
被 p
规定 n
要 v
每个 r
星期日 t
向 p
警方 n
报告 n
， x
每天晚上 i
都 d
要 v
留在 v
家里 s
， x
并 c
在 p
没有 v
警察 v
许可 nr
的 uj
情况 n
下 f
不会 v
离开 v
那不勒斯 ns
。 x
"
670,白军在每条战线上击败了红军。,"白军 nr
在 p
每 r
条 q
战线 n
上 f
击败 v
了 ul
红军 n
。 x
"
671,到了2月，曼森的远景已经完成。,"到 v
了 ul
2 m
月 m
， x
曼森 nr
的 uj
远景 n
已经 d
完成 v
。 x
"
672,2015年的第一批审查，在2015年10月宣布，第一次没有项目被选定，因为许多项目因为各种原因被拒绝。,"2015 m
年 m
的 uj
第一批 m
审查 vn
， x
在 p
2015 m
年 m
10 m
月 m
宣布 v
， x
第一次 m
没有 v
项目 n
被 p
选定 v
， x
因为 c
许多 m
项目 n
因为 c
各种 r
原因 n
被 p
拒绝 v
。 x
"
673,”“但年幼的孩子总是试图要尽可能找到他们的英雄。,"” x
“ x
但 c
年幼 j
的 uj
孩子 n
总是 c
试图 v
要 v
尽可能 d
找到 v
他们 r
的 uj
英雄 ns
。 x
"
674,到了1558年10月，伊丽莎白已经为她的政府制定计划。,"到 v
了 ul
1558 m
年 m
10 m
月 m
， x
伊丽莎白 nr
已经 d
为 p
她 r
的 uj
政府 n
制定 v
计划 n
。 x
"
675,最受憎恨的收税员们被杀害。,"最 d
受 v
憎恨 v
的 uj
收税员 n
们 k
被 p
杀害 v
。 x
"
676,愿我们永远地赞美你 这些礼物如此丰饶和稀有。,"愿 v
我们 r
永远 d
地 uv
赞美 ns
你 r
  x
这些 r
礼物 n
如此 c
丰饶 a
和 c
稀有 v
。 x
"
677,《超级肉肉男孩》的开发始于2009年1月。,"《 x
超级 b
肉肉 n
男孩 n
》 x
的 uj
开发 v
始于 d
2009 m
年 m
1 m
月 m
。 x
"
678,75.易卜拉欣确是宽仁的，确是慈悲的，确是悔悟的。,"75. m
易卜拉欣 nr
确 d
是 v
宽仁 n
的 uj
， x
确 d
是 v
慈悲 a
的 uj
， x
确 d
是 v
悔悟 v
的 uj
。 x
"
679,同时，出生在巴勒斯坦之外的巴勒斯坦人是否能申请此护照也不明确。,"同时 c
， x
出生 v
在 p
巴勒斯坦 ns
之外 f
的 uj
巴勒斯坦人 nrt
是否 v
能 v
申请 v
此 zg
护照 n
也 d
不 d
明确 ad
。 x
"
680,ISO 38500 区分了“治理”，“管理”和“监控”的差异。,"ISO eng
  x
38500 m
  x
区分 n
了 ul
“ x
治理 v
” x
， x
“ x
管理 vn
” x
和 c
“ x
监控 vn
” x
的 uj
差异 n
。 x
"
681,那么 L1 是 Kripke 不完备的。,"那么 r
  x
L1 eng
  x
是 v
  x
Kripke eng
  x
不 d
完备 v
的 uj
。 x
"
682,通常与家庭有关的事情最终决定是在丈夫。,"通常 d
与 p
家庭 n
有关 vn
的 uj
事情 n
最终 d
决定 v
是 v
在 p
丈夫 n
。 x
"
683,东方4号还创造了在太空将近四天的记录。,"东方 s
4 m
号 m
还 d
创造 v
了 ul
在 p
太空 n
将近 t
四天 m
的 uj
记录 n
。 x
"
684,但是，一个确定的弱点改变以前所有的计划。,"但是 c
， x
一个 m
确定 v
的 uj
弱点 n
改变 v
以前 f
所有 b
的 uj
计划 n
。 x
"
685,创造新的东西，或者一项“突破”技术。,"创造 v
新 a
的 uj
东西 ns
， x
或者 c
一项 m
“ x
突破 vn
” x
技术 n
。 x
"
686,时间只会为自己停止。,"时间 n
只 d
会 v
为 p
自己 r
停止 v
。 x
"
687,“我不能支持当前形式的提案，”福克斯告诉首相。,"“ x
我 r
不能 v
支持 v
当前 t
形式 n
的 uj
提案 v
， x
” x
福克斯 nr
告诉 v
首相 d
。 x
"
688,2013年：俄罗斯圣彼得堡，主题：所有的梦想现在都受欢迎。,"2013 m
年 m
： x
俄罗斯 ns
圣彼得堡 ns
， x
主题 n
： x
所有 b
的 uj
梦想 n
现在 t
都 d
受欢迎 v
。 x
"
689,Linus Tech Tips每天都会发布一个新的视频。,"Linus eng
  x
Tech eng
  x
Tips eng
每天 r
都 d
会 v
发布 v
一个 m
新 a
的 uj
视频 n
。 x
"
690,他们还迫使CJ为他们卖命，以换取自己、家人和朋友的人身安全。,"他们 r
还 d
迫使 v
CJ eng
为 p
他们 r
卖命 v
， x
以 p
换取 v
自己 r
、 x
家人 n
和 c
朋友 n
的 uj
人身安全 i
。 x
"
691,我们一直有着每位美国民众能看这部电影的愿望”。,"我们 r
一直 d
有着 v
每位 r
美国 ns
民众 n
能 v
看 v
这部 r
电影 n
的 uj
愿望 v
” x
。 x
"
692,查尔斯·罗恩（Charles Rawn）上尉只有35名士兵来防御这个山谷。,"查尔斯 nr
· x
罗恩 nr
（ x
Charles eng
  x
Rawn eng
） x
上尉 n
只有 c
35 m
名 n
士兵 n
来 v
防御 v
这个 r
山谷 n
。 x
"
693,一些财政援助顾问都提到了这个“8％的规则。,"一些 m
财政 n
援助 vn
顾问 nr
都 d
提到 v
了 ul
这个 r
“ x
8 x
％ x
的 uj
规则 n
。 x
"
694,至期，裕遣周安穆报之，而迈惶遽，遂以告玄。,"至期 d
， x
裕 nr
遣 vg
周安 nz
穆报 nz
之 u
， x
而 c
迈 v
惶遽 a
， x
遂 d
以告 v
玄 nr
。 x
"
695,这并不一定意味着该群体的成员不属于任何宗教。,"这 r
并不一定 d
意味着 v
该 r
群体 n
的 uj
成员 n
不 d
属于 v
任何 r
宗教 n
。 x
"
696,十一名学生给出了完美的解答。,"十一名 m
学生 n
给出 v
了 ul
完美 a
的 uj
解答 v
。 x
"
697,社会影响力不一定是负面的。,"社会 n
影响力 n
不 d
一定 d
是 v
负面 n
的 uj
。 x
"
698,他支持Joe Parrino；然而，Parrino不久在一家餐馆里被枪杀而死。,"他 r
支持 v
Joe eng
  x
Parrino eng
； x
然而 c
， x
Parrino eng
不久 a
在 p
一家 m
餐馆 n
里 f
被 p
枪杀 v
而 c
死 v
。 x
"
699,Babel 的核心版本目前每个月有超过 500 万次下载。,"Babel eng
  x
的 uj
核心 n
版本 n
目前 t
每个 r
月 m
有 v
超过 v
  x
500 m
  x
万次 m
下载 v
。 x
"
700,相比之下，德国的城市并没有得到同样的关注。,"相比之下 l
， x
德国 ns
的 uj
城市 ns
并 c
没有 v
得到 v
同样 d
的 uj
关注 v
。 x
"
